序	店內碼	分類	書名	作者		2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3
172	0010702518	文學小說	琅琊榜	海宴	7043																					0	5618	1425																	
173	0010703841	心理勵志	練習，喜歡自己	肆一	12979																					0	8752	4227																	
174	0010707317	其他	穴道導引	蔡璧名	16082																						4199	9807	2076																
175	0010709943	其他	寫字的力量限量超值套組	侯信永	11891																						1870	6876	3145																
176	0010710103	商業理財	Google必修的圖表簡報術	柯爾諾瑟鮑姆娜菲克	15712																						456	6610	6052	2594															
177	0010711623	其他	耳鳴，是救命的警鈴	賴仁淙	16246																						0	12691	3555																
178	0010712991	文學小說	遇見你之前	喬喬．莫伊絲	15337																						0	7387	7115	835															
179	0010714369	商業理財	五線譜投資術	薛兆亨/Tivo168	5960																						0	5108	852																
180	0010715541	文學小說	流	東山彰良	8802																						0	5022	3780																
181	0010719637	心理勵志	面對父母老去的勇氣	岸見一郎	7109																							28	5288	1793															
182	0010719688	文學小說	你轉身之後	喬喬．莫伊絲	9191																							1033	7585	573															
183	0010720119	心理勵志	如果可以簡單，誰想要複雜	Peter Su	20062																						0	4935	12711	2416															
184	0010722013	其他	臺灣史上最有梗的臺灣史	黃震南	10785																							0	6928	3857															
185	0010722386	心理勵志	當呼吸化為空氣	保羅．卡拉尼提	11623																							0	7627	3996															
186	0010723234	其他	為了活下去	朴研美	22936																								3179	4926	6268	6033	2530												
187	0010723543	生活旅遊	愛．小時光	PUUUNG	6434																							0	5091	1343															
188	0010729038	心理勵志	不夠好也可以	鄧惠文	6930																								530	5158	1242														
189	0010729043	生活旅遊	林姓主婦的家務事	林姓主婦	7640																								888	4277	2475														
190	0010732121	心理勵志	被討厭的勇氣 二部曲完結篇	岸見一郎等	37998																								0	15539	13105	6174	3180												
191	0010734222	文學小說	哈利波特（8）被詛咒的孩子	J.K.羅琳等	34157																								0	26535	6363	1259													
194	0010736046	其他	你的名字	新海誠等	7135																								0	7126	9														
195	0010736310	心理勵志	恆毅力	安琪拉．達克沃斯	13362																									3151	7434	2777													
196	0010738744	其他	2017唐立淇星座運勢大解析	唐立淇	18951																								0	7452	11474	25													
197	0010742371	心理勵志	情緒勒索	周慕姿	54169																									0	15323	14314	9395	4365	7284	3488									
198	0010743217	文學小說	房思琪的初戀樂園	林奕含	121326																										1576	110669	6768	2313											
199	0010743407	其他	做工的人	林立青	11551																									0	6506	5045													
200	0010743500	其他	教養的秘密	王宏哲	37155																									0	10465	8976	6188	7007	4519										
201	0010750061	心理勵志	你的善良必須有點鋒芒	慕顏歌	34416																										0	6408	8165	6477	8874	4492									
202	0010751420	其他	靈界的譯者套書	索非亞（劉柏君）	6419																										0	6097	322												
203	0010752714	心理勵志	刻意練習	安德斯．艾瑞克森等	37203																											3304	10543	11770	8136	3450									
204	0010752721	其他	英語每日一滴	阿滴（Ray Du）	9968																										0	7077	2891												
205	0010757584	其他	過敏的大腦	賴仁淙	15537																											0	14856	681											
206	0010758337	文學小說	怪獸與牠們的產地＋穿越歷史的魁地奇＋吟遊詩人皮陀故事集	J.K.羅琳	7564																											0	6560	1004											
207	0010758635	心理勵志	Power錕的大人學	李錫錕	19391																											0	9261	6886	3244										
208	0010759276	心理勵志	高敏感是種天賦	伊麗絲．桑德	10367																											0	7274	3093											
209	0010760397	文學小說	人浮於愛	侯文詠	10407																											0	8929	1478											
210	0010762201	商業理財	斜槓青年	Susan Kuang	23296																												158	6835	5512	6111	4680								
211	0010763289	其他	全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析	林政翰	20847																													3446	7872	6045	3484								
212	0010768630	心理勵志	可以善良，但你要有底線不當好人	午堂登紀雄	13618																													4401	7099	2118									
213	0010769953	生活旅遊	幸福烘焙的第一本書	Jeanica 幸福烘培分享	9786																												0	8119	1667										
214	0010770522	其他	薩提爾的對話練習	李崇建	16727																												0	6481	5747	4499									
215	0010771261	其他	緣來，我愛你	紫嚴導師	11762																												0	8696	3066										
216	0010771883	其他	新制多益 NEW TOEIC 單字大全	David Cho	92415																														3522	11116	12512	9333	11602	6602	9326	6427	12323	5221	4431
